"Latin","gx","gy"
"Amelanchier arborea",140.7,69.2
"Amelanchier arborea",143.2,91.9
"Amelanchier arborea",143.6,152.7
"Amelanchier arborea",150.5,225
"Amelanchier arborea",143.6,263
"Amelanchier arborea",149.7,328.9
"Amelanchier arborea",157.4,336.3
"Amelanchier arborea",151.1,333.7
"Amelanchier arborea",143.6,343.7
"Amelanchier arborea",154.5,349.9
"Amelanchier arborea",149.4,351
"Amelanchier arborea",144.6,369.8
"Amelanchier arborea",157.5,362.7
"Amelanchier arborea",145.3,371.3
"Amelanchier arborea",142.6,377.9
"Amelanchier arborea",143.3,372.9
"Amelanchier arborea",143.7,391.8
"Amelanchier arborea",147.4,411.9
"Amelanchier arborea",141.5,414.8
"Amelanchier arborea",148.1,490.9
"Amelanchier arborea",164.9,105.6
"Amelanchier arborea",161.2,223.3
"Amelanchier arborea",168.7,344.9
"Amelanchier arborea",172.7,341
"Amelanchier arborea",177.4,342.3
"Amelanchier arborea",171,347.5
"Amelanchier arborea",165.4,353.1
"Amelanchier arborea",168.8,373.6
"Amelanchier arborea",163.5,387.2
"Amelanchier arborea",175.1,409.4
"Amelanchier arborea",169.5,415.3
"Amelanchier arborea",160.4,424.3
"Amelanchier arborea",177.7,434.5
"Amelanchier arborea",191.1,39.2
"Amelanchier arborea",186.6,230.5
"Amelanchier arborea",192.3,238.9
"Amelanchier arborea",183.7,251
"Amelanchier arborea",194.1,399.1
"Amelanchier arborea",180.6,398.7
"Amelanchier arborea",199.9,421
"Amelanchier arborea",185.1,528.2
"Amelanchier arborea",206.2,268.7
"Amelanchier arborea",213.2,350.8
"Amelanchier arborea",204.4,353.5
"Amelanchier arborea",209.9,369.7
"Amelanchier arborea",206.9,385.9
"Amelanchier arborea",202.7,408.8
"Amelanchier arborea",206.2,457.5
"Amelanchier arborea",224.9,42
"Amelanchier arborea",230.4,95.2
"Amelanchier arborea",237.1,118.6
"Amelanchier arborea",238.6,344.2
"Amelanchier arborea",236.2,356
"Amelanchier arborea",236.2,367.6
"Amelanchier arborea",227.2,393.1
"Amelanchier arborea",221,419.3
"Amelanchier arborea",249.4,358.4
"Amelanchier arborea",254.8,370.6
"Amelanchier arborea",256.1,370.7
"Amelanchier arborea",256.7,409.7
"Amelanchier arborea",242,457.9
"Amelanchier arborea",250.7,480
"Amelanchier arborea",250.4,500.4
"Amelanchier arborea",267.9,463.7
"Amelanchier arborea",266.4,465.2
"Amelanchier arborea",276,503.5
"Amelanchier arborea",264.5,503.3
"Amelanchier arborea",264,527.4
"Amelanchier arborea",274.9,529.3
"Amelanchier arborea",297.2,313.5
"Amelanchier arborea",296.7,435.8
"Amelanchier arborea",280.8,444.9
"Amelanchier arborea",283.2,485.4
"Amelanchier arborea",284.1,511.7
"Amelanchier arborea",299.5,518.1
"Amelanchier arborea",295.4,514.9
"Amelanchier arborea",306.5,325.2
"Amelanchier arborea",317.2,330.8
"Amelanchier arborea",304.2,379.6
"Amelanchier arborea",339.2,333.3
"Amelanchier arborea",331.9,341.5
"Amelanchier arborea",325.6,498.9
"Amelanchier arborea",352.4,321.8
"Amelanchier arborea",349.2,324.5
"Amelanchier arborea",350,378.7
"Amelanchier arborea",348.7,387
"Amelanchier arborea",372,323.7
"Amelanchier arborea",368.4,352.5
"Amelanchier arborea",373.7,362.9
"Amelanchier arborea",373.6,377.5
"Amelanchier arborea",368.5,380.7
"Amelanchier arborea",370.2,390.5
"Amelanchier arborea",377.2,440.6
"Asimina triloba",8.8,69.3
"Asimina triloba",8.5,69.6
"Asimina triloba",9.3,70
"Asimina triloba",8.5,68.5
"Asimina triloba",8.9,70.2
"Asimina triloba",14.1,250
"Asimina triloba",14.2,250.2
"Asimina triloba",15.7,250
"Asimina triloba",19.5,254.1
"Asimina triloba",17.2,254
"Asimina triloba",16,254.9
"Asimina triloba",17.6,256.1
"Asimina triloba",0.3,302
"Asimina triloba",0.1,489.5
"Asimina triloba",17.6,481.2
"Asimina triloba",13.4,559
"Asimina triloba",14.7,557.4
"Asimina triloba",13.1,560.2
"Asimina triloba",15.1,561.8
"Asimina triloba",20,566.5
"Asimina triloba",18.6,566
"Asimina triloba",17.5,569.2
"Asimina triloba",13.9,568.6
"Asimina triloba",13.9,570.2
"Asimina triloba",12.8,571.9
"Asimina triloba",14.6,571.5
"Asimina triloba",16.9,572.2
"Asimina triloba",16.9,570.6
"Asimina triloba",15.8,573.8
"Asimina triloba",12.9,576.7
"Asimina triloba",10.1,577
"Asimina triloba",10,576.7
"Asimina triloba",13.5,580.3
"Asimina triloba",17.9,619.8
"Asimina triloba",13.4,619.8
"Asimina triloba",13.1,614.3
"Asimina triloba",3.6,623.3
"Asimina triloba",9.8,621.6
"Asimina triloba",9.3,622.6
"Asimina triloba",8.7,622.7
"Asimina triloba",9.4,623.4
"Asimina triloba",7.9,623.1
"Asimina triloba",8.2,623.7
"Asimina triloba",8.6,624.7
"Asimina triloba",8.8,625.2
"Asimina triloba",8,627.3
"Asimina triloba",9.1,627
"Asimina triloba",8,627.5
"Asimina triloba",10.1,628.3
"Asimina triloba",10,628.2
"Asimina triloba",9.1,628.6
"Asimina triloba",7.1,627.7
"Asimina triloba",6.6,627.1
"Asimina triloba",5.6,627.7
"Asimina triloba",5.6,627.8
"Asimina triloba",4.1,627
"Asimina triloba",0.5,629.6
"Asimina triloba",4.9,625.6
"Asimina triloba",12.5,620.8
"Asimina triloba",13.3,622.4
"Asimina triloba",13.8,621.2
"Asimina triloba",13.7,620.8
"Asimina triloba",15.2,621.7
"Asimina triloba",16.1,621.8
"Asimina triloba",15.2,622.4
"Asimina triloba",16,623.2
"Asimina triloba",16.5,620.8
"Asimina triloba",17.5,621.9
