"site_code","count_id","line","species_id","liana","count","record_id","site_id","site_name","country","state_province","continent","lat","lon","min_elev","max_elev","precip"
"ALLPAHUA",105004,5,5499,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",105005,3,5572,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",105006,10,5620,"L",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",105007,2,5698,"L",2,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",105008,9,5699,"L",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",105009,5,5706,"L",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",105010,3,5910,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",105011,4,5910,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",105012,3,6084,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",105013,4,6084,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",105014,3,6089,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",105015,4,6089,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",105016,5,6089,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",105017,8,6089,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",105018,5,6111,"",2,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
