"Latin","gx","gy"
"Acalypha diversifolia",743.9,159.56
"Acalypha diversifolia",747.18,171.29
"Acalypha diversifolia",752.44,283.78
"Acalypha diversifolia",758.46,305.13
"Acalypha diversifolia",759.73,305.72
"Acalypha diversifolia",762.5,108.8
"Acalypha diversifolia",762.8,109.8
"Acalypha diversifolia",769.63,120.51
"Acalypha diversifolia",767.19,294.53
"Acalypha diversifolia",767.09,289.03
"Acalypha diversifolia",769.12,313.02
"Acalypha diversifolia",769.31,331.89
"Acalypha diversifolia",784.6,179.1
"Acalypha diversifolia",790.4,190.3
"Acalypha diversifolia",787.5,190.9
"Acalypha diversifolia",788.1,188.8
"Acalypha diversifolia",788.2,189.3
"Acalypha diversifolia",790.8,188.9
"Acalypha diversifolia",788.39,188.48
"Acalypha diversifolia",788.95,200.85
"Acalypha diversifolia",799.05,227.41
"Acalypha diversifolia",798.89,226.73
"Acalypha diversifolia",794.7,254.6
"Acalypha diversifolia",795.2,255.48
"Acalypha diversifolia",799.72,255.25
"Acalypha diversifolia",794.3,347.5
"Acalypha diversifolia",799.9,372.12
"Acalypha diversifolia",796.5,394.9
"Acalypha diversifolia",803.64,111.74
"Acalypha diversifolia",812.95,119.34
"Acalypha diversifolia",812.45,119.54
"Acalypha diversifolia",814.6,120.9
"Acalypha diversifolia",810,143.4
"Acalypha diversifolia",815.7,190.6
"Acalypha diversifolia",816.5,190.9
"Acalypha diversifolia",819.3,190
"Acalypha diversifolia",811.6,195.4
"Acalypha diversifolia",813.6,197
"Acalypha diversifolia",814,196.4
"Acalypha diversifolia",818.5,192.4
"Acalypha diversifolia",817.9,190.6
"Acalypha diversifolia",814.34,191.87
"Acalypha diversifolia",816.99,192.47
"Acalypha diversifolia",808.4,209.9
"Acalypha diversifolia",803.9,213.6
"Acalypha diversifolia",807.3,209.7
"Acalypha diversifolia",809.2,202.8
"Acalypha diversifolia",810.2,204.3
"Acalypha diversifolia",811.6,206.4
"Acalypha diversifolia",808.8,228.2
"Acalypha diversifolia",801.55,228.72
"Acalypha diversifolia",818.88,223.78
"Acalypha diversifolia",805.3,252.4
"Acalypha diversifolia",807.8,250.1
"Acalypha diversifolia",803.9,254.5
"Acalypha diversifolia",805.3,254.2
"Acalypha diversifolia",805.2,242.7
"Acalypha diversifolia",801.36,255.71
"Acalypha diversifolia",806.33,251.73
"Acalypha diversifolia",805.38,241.64
"Acalypha diversifolia",805.28,242.38
"Acalypha diversifolia",806.96,318.37
"Acalypha diversifolia",806.75,318.67
"Acalypha diversifolia",814.4,358
"Acalypha diversifolia",816.7,357.1
"Acalypha diversifolia",819.2,379.6
"Acalypha diversifolia",807.2,399.4
"Acalypha diversifolia",809.78,402.93
"Acalypha diversifolia",812.01,412.47
"Acalypha macrostachya",217.2,425.8
"Acalypha macrostachya",219.2,427.5
"Acalypha macrostachya",217.5,422.7
"Acalypha macrostachya",220.1,424.8
"Acalypha macrostachya",220.1,422.4
"Acalypha macrostachya",278.8,347.9
"Acalypha macrostachya",326.2,412.7
"Acalypha macrostachya",473.2,164.4
"Acalypha macrostachya",512.8,309.8
"Acalypha macrostachya",649.46,243.53
"Acalypha macrostachya",714.27,150.19
"Acalypha macrostachya",728.2,147.9
"Adelia triloba",182.2,362.4
"Adelia triloba",180.1,376
"Adelia triloba",202.7,386.7
"Adelia triloba",225.3,161.2
"Adelia triloba",229.7,231.2
"Adelia triloba",248,449.1
"Adelia triloba",251.7,448.8
"Adelia triloba",335.1,227.2
"Adelia triloba",429.5,120.9
"Adelia triloba",449.4,179.7
"Adelia triloba",444,174.5
"Adelia triloba",451.2,411.1
"Adelia triloba",448.6,405.5
"Adelia triloba",579.56,325.75
"Adelia triloba",590.8,315.4
"Adelia triloba",592.5,311.5
"Adelia triloba",598,310.8
"Adelia triloba",583.7,306.6
"Adelia triloba",584.17,310.22
"Adelia triloba",586.15,315.09
"Adelia triloba",585.92,310.26
"Adelia triloba",585.18,310.13
"Adelia triloba",587.06,309.78
"Adelia triloba",591.52,306.37
"Adelia triloba",585.9,448.4
"Adelia triloba",610.8,125.9
"Adelia triloba",632.7,116.9
"Adelia triloba",625.5,101.4
"Adelia triloba",639.3,309.4
"Adelia triloba",635.4,394.2
"Adelia triloba",639.8,414.6
"Adelia triloba",650.3,119.6
"Adelia triloba",643.55,119.49
"Adelia triloba",651.28,118.93
"Adelia triloba",648.82,125.39
"Adelia triloba",659.02,237.62
"Adelia triloba",647.6,316.3
"Adelia triloba",654.4,352.6
"Adelia triloba",650.2,407.1
"Adelia triloba",649,412.4
"Adelia triloba",677.7,89.2
"Adelia triloba",677.6,144.55
"Adelia triloba",664.8,227.5
"Adelia triloba",667.4,238.5
"Adelia triloba",695.5,78
"Adelia triloba",698.6,87.2
"Adelia triloba",696.3,83
"Adelia triloba",681.3,94
"Adelia triloba",684.3,416.4
"Adelia triloba",699.3,401.2
"Adelia triloba",687.5,432.9
"Adelia triloba",694.52,431.42
"Adelia triloba",700.3,83.2
"Adelia triloba",718.6,164.6
"Adelia triloba",710.8,189.6
"Adelia triloba",703.6,236.8
"Adelia triloba",714.4,245.5
"Adelia triloba",733.1,238
"Adelia triloba",737,226.7
"Adelia triloba",727.7,396
"Adelia triloba",723.6,389.2
"Adelia triloba",755.6,423.9
"Adelia triloba",767.2,204.4
"Adelia triloba",777.9,419
"Adelia triloba",798.4,311.8
"Adelia triloba",792.8,373.2
"Adelia triloba",785.6,362.1
"Adelia triloba",799.1,380.8
"Adelia triloba",781.7,382.6
"Adelia triloba",792.5,383.6
"Adelia triloba",782.5,424.7
"Adelia triloba",804.2,352.4
"Adelia triloba",802.2,393.1
"Aegiphila panamensis",214.36,207.44
"Aegiphila panamensis",223.6,169.9
"Aegiphila panamensis",220.33,257.24
"Aegiphila panamensis",226.79,265.72
"Aegiphila panamensis",307.7,300.5
"Aegiphila panamensis",317.7,357
"Aegiphila panamensis",333.5,249.6
"Aegiphila panamensis",327.9,399.9
"Aegiphila panamensis",328.1,396.9
"Aegiphila panamensis",334.1,398.4
"Aegiphila panamensis",353.7,149.2
"Aegiphila panamensis",419.76,110.09
"Aegiphila panamensis",440.4,94.3
"Aegiphila panamensis",454,415.7
"Aegiphila panamensis",486.2,154.6
"Aegiphila panamensis",512,139
"Aegiphila panamensis",536.4,159.6
"Aegiphila panamensis",556.6,188.7
"Aegiphila panamensis",560.1,197.1
"Aegiphila panamensis",573.1,446.2
"Aegiphila panamensis",598.2,128.2
"Aegiphila panamensis",591.6,213.4
"Aegiphila panamensis",629.4,291
"Aegiphila panamensis",670.42,148.37
"Alchornea costaricensis",180.27,162.87
"Alchornea costaricensis",184.81,163.75
"Alchornea costaricensis",187.77,169.23
"Alchornea costaricensis",185.2,163.36
"Alchornea costaricensis",204.73,167.6
"Alchornea costaricensis",207,370.5
"Alchornea costaricensis",239.8,84.3
"Alchornea costaricensis",230.35,92.1
"Alchornea costaricensis",223.5,107.5
"Alchornea costaricensis",234.1,215.2
"Alchornea costaricensis",224.4,329.5
"Alchornea costaricensis",224.2,329.2
"Alchornea costaricensis",228.1,331.9
"Alchornea costaricensis",225.5,329.8
"Alchornea costaricensis",234.4,358.6
"Alchornea costaricensis",243.2,122.6
"Alchornea costaricensis",241,189.8
"Alchornea costaricensis",249.7,297.1
"Alchornea costaricensis",274.8,139
"Alchornea costaricensis",277.4,170.3
"Alchornea costaricensis",260.5,352.3
"Alchornea costaricensis",260.4,375.2
"Alchornea costaricensis",262.2,429.7
"Alchornea costaricensis",291.4,371.6
"Alchornea costaricensis",318.3,118.8
"Alchornea costaricensis",318.72,297.83
"Alchornea costaricensis",303,306.2
"Alchornea costaricensis",310.4,356.2
"Alchornea costaricensis",317.9,355.3
"Alchornea costaricensis",331.3,50.2
"Alchornea costaricensis",324.3,64.9
"Alchornea costaricensis",350.7,336.34
"Alchornea costaricensis",347.5,400.6
"Alchornea costaricensis",379.88,363.66
"Alchornea costaricensis",378.7,410.4
