"Latin","gx","gy"
"Fagus sylvatica",4390903.01,5661566.73
"Fagus sylvatica",4390909.81,5661567.27
"Fagus sylvatica",4390909.59,5661568.99
"Fagus sylvatica",4390907.09,5661574.26
"Fagus sylvatica",4390909.74,5661576.06
"Fagus sylvatica",4390906.87,5661578.49
"Fagus sylvatica",4390906.17,5661579.18
"Fagus sylvatica",4390904.02,5661580.55
"Fagus sylvatica",4390900.28,5661576.91
"Fagus sylvatica",4390900.93,5661580.27
"Fagus sylvatica",4390901.11,5661584.9
"Fagus sylvatica",4390903.93,5661585.24
"Fagus sylvatica",4390906.37,5661582.6
"Fagus sylvatica",4390905.51,5661587.08
"Fagus sylvatica",4390902.25,5661588.95
"Fagus sylvatica",4390902.06,5661589.21
"Fagus sylvatica",4390905.68,5661594.68
"Fagus sylvatica",4390906.77,5661593.21
"Fagus sylvatica",4390910.54,5661597.19
"Fagus sylvatica",4390915.66,5661597.13
"Fagus sylvatica",4390915.08,5661598.73
"Fraxinus excelsior",4390918.26,5661598.79
"Fagus sylvatica",4390918.26,5661590.94
"Fraxinus excelsior",4390916.71,5661592.24
"Fagus sylvatica",4390913.61,5661593.27
"Fraxinus excelsior",4390910.24,5661592.8
"Fraxinus excelsior",4390908.37,5661588.61
"Fagus sylvatica",4390910.25,5661588.86
"Fraxinus excelsior",4390911.23,5661587.4
"Fagus sylvatica",4390913.86,5661586.28
"Fagus sylvatica",4390912.5,5661586.45
"Fraxinus excelsior",4390911.6,5661584.72
"Fraxinus excelsior",4390908.58,5661586.43
"Fagus sylvatica",4390912.8,5661580.73
"Fagus sylvatica",4390917.46,5661583.89
"Fagus sylvatica",4390917.36,5661579.12
"Fagus sylvatica",4390915.08,5661574.33
"Fagus sylvatica",4390913.32,5661562.73
"Acer pseudoplatanus",4390914.84,5661561.93
"Fagus sylvatica",4390912.43,5661556.58
"Fagus sylvatica",4390912.78,5661554.93
"Fagus sylvatica",4390912.39,5661554.36
"Fagus sylvatica",4390915.93,5661550
"Fagus sylvatica",4390919.06,5661551
"Fagus sylvatica",4390919.94,5661551.6
"Fagus sylvatica",4390923.21,5661554.48
"Fagus sylvatica",4390924.12,5661551.99
"Fagus sylvatica",4390927.73,5661550.97
"Acer pseudoplatanus",4390927.44,5661552.93
"Fagus sylvatica",4390925.94,5661558.1
"Fagus sylvatica",4390920.99,5661563.53
"Fagus sylvatica",4390917.65,5661562.27
"Fagus sylvatica",4390926,5661576.19
"Fraxinus excelsior",4390926.2,5661577.09
"Fagus sylvatica",4390927.25,5661580.19
"Fagus sylvatica",4390923.79,5661578.05
"Fagus sylvatica",4390920.34,5661578.64
"Fagus sylvatica",4390921.45,5661583.18
"Fagus sylvatica",4390931.93,5661585.73
"Fagus sylvatica",4390929.06,5661593.96
"Fagus sylvatica",4390929.38,5661597.91
"Fagus sylvatica",4390924.35,5661598.94
"Fagus sylvatica",4390932.71,5661599.28
"Fagus sylvatica",4390933.8,5661599.72
